"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 19 2008","2454698.5","240883201","60.24","4.29e-8","9.50e-9","-2","-","72.12","1e-8","0","bin1.log"
"Sep 18 2008","2454728.5","243475201","47.36","4.06e-8","9.20e-9","-2","-","99.33","1e-8","0","bin2.log"
"Oct 18 2008","2454758.5","246067201","44.22","3.41e-8","8.70e-9","-2","-","126.20","1e-8","0","bin3.log"
"Nov 17 2008","2454788.5","248659201","105.56","4.87e-8","8.90e-9","-2","-","154.67","1e-8","0","bin4.log"
"Dec 17 2008","2454818.5","251251201","31.89","2.11e-8","6.80e-9","-2","-","170.56","1e-8","0","bin5.log"
"Jan 16 2009","2454848.499988426","253843201","21.46","1.65e-8","6.30e-9","-2","-","139.28","1e-8","0","bin6.log"
"Feb 15 2009","2454878.499988426","256435201","51.16","3.13e-8","7.90e-9","-2","-","108.28","1e-8","0","bin7.log"
"Mar 17 2009","2454908.499988426","259027201","8.06","1.36e-8","6.56e-9","-2","-","79.71","1e-8","0","bin8.log"
"Apr 16 2009","2454938.499988426","261619201","73.38","3.87e-8","7.90e-9","-2","-","52.24","1e-8","0","bin9.log"
"May 16 2009","2454968.499988426","264211201","75.53","5.71e-8","1.08e-8","-2","-","23.95","1e-8","0","bin10.log"
"Jun 15 2009","2454998.499988426","266803201","93.76","4.84e-8","8.80e-9","-2","-","7.63","1e-8","0","bin11.log"
"Jul 15 2009","2455028.499988426","269395201","92.93","6.09e-8","1.10e-8","-2","-","37.79","1e-8","0","bin12.log"
"Aug 14 2009","2455058.499988426","271987201","62.99","4.95e-8","1.02e-8","-2","-","67.20","1e-8","0","bin13.log"
"Sep 13 2009","2455088.499988426","274579201","65.17","4.86e-8","1.08e-8","-2","-","94.66","1e-8","0","bin14.log"
"Oct 13 2009","2455118.499988426","277171201","53.61","5.12e-8","1.11e-8","-2","-","121.44","1e-8","0","bin15.log"
"Nov 12 2009","2455148.499988426","279763201","79.69","5.62e-8","1.14e-8","-2","-","149.54","1e-8","0","bin16.log"
"Dec 12 2009","2455178.499988426","282355201","73.76","5.99e-8","1.23e-8","-2","-","173.77","1e-8","0","bin17.log"
"Jan 11 2010","2455208.499988426","284947201","97.71","5.94e-8","1.15e-8","-2","-","144.91","1e-8","0","bin18.log"
"Feb 10 2010","2455238.499988426","287539201","56.28","4.10e-8","1.02e-8","-2","-","113.51","1e-8","0","bin19.log"
"Mar 12 2010","2455268.499988426","290131201","87.65","5.79e-8","1.15e-8","-2","-","84.57","1e-8","0","bin20.log"
"Apr 11 2010","2455298.499988426","292723201","94.97","5.93e-8","1.21e-8","-2","-","57.05","1e-8","0","bin21.log"
"May 11 2010","2455328.499988426","295315201","80.36","4.93e-8","1.01e-8","-2","-","29.00","1e-8","0","bin22.log"
"Jun 10 2010","2455358.499988426","297907201","30.83","3.67e-8","1.06e-8","-2","-","3.93","1e-8","0","bin23.log"
"Jul 10 2010","2455388.499988426","300499201","134.38","8.17e-8","1.33e-8","-2","-","32.47","1e-8","0","bin24.log"
"Aug 09 2010","2455418.499988426","303091201","144.6","9.37e-8","1.40e-8","-2","-","62.21","1e-8","0","bin25.log"
"Sep 08 2010","2455448.499988426","305683201","113.99","8.54e-8","1.39e-8","-2","-","89.96","1e-8","0","bin26.log"
"Oct 08 2010","2455478.499988426","308275201","237.13","9.57e-8","1.17e-8","-2","-","116.72","1e-8","0","bin27.log"
"Nov 07 2010","2455508.499988426","310867201","209.9","9.23e-8","1.37e-8","-2","-","144.46","1e-8","0","bin28.log"
"Dec 07 2010","2455538.499988426","313459201","207.37","1.14e-7","1.52e-8","-2","-","172.66","1e-8","0","bin29.log"
"Jan 06 2011","2455568.499988426","316051201","276.2","1.35e-7","1.60e-8","-2","-","150.56","1e-8","0","bin30.log"
"Feb 05 2011","2455598.499988426","318643201","280.36","1.27e-7","1.50e-8","-2","-","118.82","1e-8","0","bin31.log"
"Mar 07 2011","2455628.499988426","321235201","226.42","1.09e-7","1.35e-8","-2","-","89.47","1e-8","0","bin32.log"
"Apr 06 2011","2455658.499988426","323827201","198.67","8.26e-8","1.11e-8","-2","-","61.84","1e-8","0","bin33.log"
"May 06 2011","2455688.499988426","326419201","82.94","6.32e-8","1.17e-8","-2","-","34.01","1e-8","0","bin34.log"
