"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 19 2008","2454698.5","240883201","1471.67","2.20e-7","1.40e-8","-1.77","-","143.46","1e-8","0","bin1.log"
"Sep 18 2008","2454728.5","243475201","824.52","1.51e-7","1.20e-8","-1.77","-","139.71","1e-8","0","bin2.log"
"Oct 18 2008","2454758.5","246067201","924.51","1.68e-7","1.20e-8","-1.77","-","122.28","1e-8","0","bin3.log"
"Nov 17 2008","2454788.5","248659201","890.86","1.53e-7","1.20e-8","-1.77","-","95.48","1e-8","0","bin4.log"
"Dec 17 2008","2454818.5","251251201","689.49","1.31e-7","1.10e-8","-1.77","-","63.57","1e-8","0","bin5.log"
"Jan 16 2009","2454848.499988426","253843201","1053.78","1.70e-7","1.20e-8","-1.77","-","31.30","1e-8","0","bin6.log"
"Feb 15 2009","2454878.499988426","256435201","757.29","1.39e-7","1.20e-8","-1.77","-","15.41","1e-8","0","bin7.log"
"Mar 17 2009","2454908.499988426","259027201","731.12","1.32e-7","1.10e-8","-1.77","-","39.39","1e-8","0","bin8.log"
"Apr 16 2009","2454938.499988426","261619201","1300.91","2.11e-7","1.40e-8","-1.77","-","67.77","1e-8","0","bin9.log"
"May 16 2009","2454968.499988426","264211201","1468.61","2.15e-7","1.30e-8","-1.77","-","94.45","1e-8","0","bin10.log"
"Jun 15 2009","2454998.499988426","266803201","641.3","1.24e-7","1.10e-8","-1.77","-","116.96","1e-8","0","bin11.log"
"Jul 15 2009","2455028.499988426","269395201","894.82","1.75e-7","1.30e-8","-1.77","-","133.31","1e-8","0","bin12.log"
"Aug 14 2009","2455058.499988426","271987201","931.53","1.57e-7","1.20e-8","-1.77","-","142.74","1e-8","0","bin13.log"
"Sep 13 2009","2455088.499988426","274579201","537.03","1.15e-7","1.20e-8","-1.77","-","141.42","1e-8","0","bin14.log"
"Oct 13 2009","2455118.499988426","277171201","367.62","6.73e-8","8.10e-9","-1.77","-","126.13","1e-8","0","bin15.log"
"Nov 12 2009","2455148.499988426","279763201","320.62","9.16e-8","1.13e-8","-1.77","-","100.64","1e-8","0","bin16.log"
"Dec 12 2009","2455178.499988426","282355201","507.01","9.34e-8","9.20e-9","-1.77","-","69.33","1e-8","0","bin17.log"
"Jan 11 2010","2455208.499988426","284947201","289.7","8.18e-8","1.09e-8","-1.77","-","36.67","1e-8","0","bin18.log"
"Feb 10 2010","2455238.499988426","287539201","306.68","6.42e-8","8.50e-9","-1.77","-","14.46","1e-8","0","bin19.log"
"Mar 12 2010","2455268.499988426","290131201","273.08","7.30e-8","9.70e-9","-1.77","-","34.47","1e-8","0","bin20.log"
"Apr 11 2010","2455298.499988426","292723201","328.25","8.01e-8","9.80e-9","-1.77","-","62.87","1e-8","0","bin21.log"
"May 11 2010","2455328.499988426","295315201","803.4","1.23e-7","1.00e-8","-1.77","-","90.02","1e-8","0","bin22.log"
"Jun 10 2010","2455358.499988426","297907201","614.3","1.63e-7","1.50e-8","-1.77","-","113.44","1e-8","0","bin23.log"
"Jul 10 2010","2455388.499988426","300499201","641.11","1.20e-7","1.00e-8","-1.77","-","130.93","1e-8","0","bin24.log"
"Aug 09 2010","2455418.499988426","303091201","339.34","9.81e-8","1.19e-8","-1.77","-","141.69","1e-8","0","bin25.log"
"Sep 08 2010","2455448.499988426","305683201","931.07","1.64e-7","1.20e-8","-1.77","-","142.67","1e-8","0","bin26.log"
"Oct 08 2010","2455478.499988426","308275201","730.53","1.59e-7","1.40e-8","-1.77","-","129.68","1e-8","0","bin27.log"
"Nov 07 2010","2455508.499988426","310867201","1348.27","2.20e-7","1.40e-8","-1.77","-","105.63","1e-8","0","bin28.log"
"Dec 07 2010","2455538.499988426","313459201","1425.47","2.20e-7","1.40e-8","-1.77","-","75.04","1e-8","0","bin29.log"
"Jan 06 2011","2455568.499988426","316051201","624.2","1.36e-7","1.30e-8","-1.77","-","42.22","1e-8","0","bin30.log"
"Feb 05 2011","2455598.499988426","318643201","622.85","1.25e-7","1.10e-8","-1.77","-","15.67","1e-8","0","bin31.log"
"Mar 07 2011","2455628.499988426","321235201","382.72","1.21e-7","1.40e-8","-1.77","-","29.65","1e-8","0","bin32.log"
"Apr 06 2011","2455658.499988426","323827201","719.77","1.47e-7","1.20e-8","-1.77","-","57.93","1e-8","0","bin33.log"
"May 06 2011","2455688.499988426","326419201","657.71","1.42e-7","1.30e-8","-1.77","-","85.47","1e-8","0","bin34.log"
"Jun 05 2011","2455718.499988426","329011201","713.5","1.33e-7","1.10e-8","-1.77","-","109.73","1e-8","0","bin35.log"
"Jul 05 2011","2455748.499988426","331603201","295.03","7.87e-8","9.90e-9","-1.77","-","128.34","1e-8","0","bin36.log"
"Aug 04 2011","2455778.499988426","334195201","373.05","8.56e-8","1.01e-8","-1.77","-","140.36","1e-8","0","bin37.log"
"Sep 03 2011","2455808.499988426","336787201","278.68","7.90e-8","9.90e-9","-1.77","-","143.47","1e-8","0","bin38.log"
"Oct 03 2011","2455838.499988426","339379201","232.61","7.89e-8","1.10e-8","-1.77","-","132.90","1e-8","0","bin39.log"
"Nov 02 2011","2455868.499988426","341971201","548.33","9.75e-8","9.30e-9","-1.77","-","110.41","1e-8","0","bin40.log"
"Dec 02 2011","2455898.499988426","344563201","180.81","6.58e-8","1.04e-8","-1.77","-","80.68","1e-8","0","bin41.log"
"Jan 01 2012","2455928.499988426","347155201","385.98","7.41e-8","8.60e-9","-1.77","-","47.89","1e-8","0","bin42.log"
"Jan 31 2012","2455958.499988426","349747201","206.4","6.21e-8","9.30e-9","-1.77","-","18.67","1e-8","0","bin43.log"
"Mar 01 2012","2455988.499988426","352339201","247.03","7.11e-8","9.50e-9","-1.77","-","25.03","1e-8","0","bin44.log"
"Mar 31 2012","2456018.499988426","354931201","537.88","1.05e-7","1.05e-8","-1.77","-","52.96","1e-8","0","bin45.log"
"Apr 30 2012","2456048.499988426","357523201","201.02","6.89e-8","1.03e-8","-1.77","-","80.82","1e-8","0","bin46.log"
"May 30 2012","2456078.499988426","360115201","339.7","7.07e-8","8.10e-9","-1.77","-","105.84","1e-8","0","bin47.log"
"Jun 29 2012","2456108.499988426","362707201","316.06","1.01e-7","1.22e-8","-1.77","-","125.56","1e-8","0","bin48.log"
"Jul 29 2012","2456138.499976852","365299201","685.67","1.17e-7","1.00e-8","-1.77","-","138.77","1e-8","0","bin49.log"
"Aug 28 2012","2456168.499976852","367891201","306.7","9.08e-8","1.14e-8","-1.77","-","143.83","1e-8","0","bin50.log"
"Sep 27 2012","2456198.499976852","370483201","418.67","1.08e-7","1.21e-8","-1.77","-","135.74","1e-8","0","bin51.log"
"Oct 27 2012","2456228.499976852","373075201","654.28","1.39e-7","1.20e-8","-1.77","-","114.98","1e-8","0","bin52.log"
"Nov 26 2012","2456258.499976852","375667201","494.5","1.27e-7","1.20e-8","-1.77","-","86.22","1e-8","0","bin53.log"
"Dec 26 2012","2456288.499976852","378259201","368.78","8.71e-8","1.00e-8","-1.77","-","53.62","1e-8","0","bin54.log"
